year mon day euro
2006 1 11 1.2135
2006 1 12 1.2035
2006 1 13 1.2103
2006 1 17 1.2073
2006 1 18 1.2083
2006 1 19 1.211
2006 1 20 1.2101
2006 1 23 1.2276
2006 1 24 1.2287
2006 1 25 1.2252
2006 1 26 1.2229
2006 1 27 1.213
2006 1 30 1.2091
2006 1 31 1.2158
2006 2 1 1.2092
2006 2 2 1.21
2006 2 3 1.2021
2006 2 6 1.1971
2006 2 7 1.1974
2006 2 8 1.1935
2006 2 9 1.1963
2006 2 10 1.192
2006 2 13 1.1905
2006 2 14 1.1895
2006 2 15 1.1884
2006 2 16 1.1882
2006 2 17 1.1906
2006 2 21 1.1912
2006 2 22 1.1905
2006 2 23 1.1923
2006 2 24 1.1882
2006 2 27 1.186
2006 2 28 1.1925
2006 3 1 1.1899
2006 3 2 1.2003
2006 3 3 1.2028
2006 3 6 1.2002
2006 3 7 1.1888
2006 3 8 1.1914
2006 3 9 1.192
2006 3 10 1.1886
2006 3 13 1.1942
2006 3 14 1.2025
2006 3 15 1.2045
2006 3 16 1.2151
2006 3 17 1.2197
2006 3 20 1.2168
2006 3 21 1.2079
2006 3 22 1.2095
2006 3 23 1.1984
2006 3 24 1.2034
2006 3 27 1.2015
2006 3 28 1.2078
2006 3 29 1.203
2006 3 30 1.2132
2006 3 31 1.2139
2006 4 3 1.2124
2006 4 4 1.2258
2006 4 5 1.2272
2006 4 6 1.2216
2006 4 7 1.2109
2006 4 10 1.2091
2006 4 11 1.2125
2006 4 12 1.2107
2006 4 13 1.2107
2006 4 14 1.2106
2006 4 17 1.2267
2006 4 18 1.2274
2006 4 19 1.2345
2006 4 20 1.2326
2006 4 21 1.234
2006 4 24 1.2373
2006 4 25 1.2412
2006 4 26 1.2464
2006 4 27 1.2525
2006 4 28 1.2624
2006 5 1 1.2607
2006 5 2 1.2644
2006 5 3 1.2639
2006 5 4 1.2684
2006 5 5 1.2733
2006 5 8 1.272
2006 5 9 1.2747
2006 5 10 1.2799
2006 5 11 1.2855
2006 5 12 1.2888
2006 5 15 1.2826
2006 5 16 1.2817
2006 5 17 1.2722
2006 5 18 1.2795
2006 5 19 1.275
2006 5 22 1.285
2006 5 23 1.2844
2006 5 24 1.2747
2006 5 25 1.2777
2006 5 26 1.2739
2006 5 30 1.2868
2006 5 31 1.2833
2006 6 1 1.2824
2006 6 2 1.2912
2006 6 5 1.2953
2006 6 6 1.2828
2006 6 7 1.2799
2006 6 8 1.2648
2006 6 9 1.2636
2006 6 12 1.2587
2006 6 13 1.2574
2006 6 14 1.2631
2006 6 15 1.2616
2006 6 16 1.2623
2006 6 19 1.2577
2006 6 20 1.2568
2006 6 21 1.2665
2006 6 22 1.2582
2006 6 23 1.2522
2006 6 26 1.2554
2006 6 27 1.2589
2006 6 28 1.2532
2006 6 29 1.2534
2006 6 30 1.2779
2006 7 3 1.2793
2006 7 5 1.2726
2006 7 6 1.2757
2006 7 7 1.2822
2006 7 10 1.2751
